ObjectId,YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code
1,2012,2,1,DOG,40218
2,2012,2,1,DOG,40219
3,2012,2,3,DOG,40222
4,2012,2,1,DOG,40228
5,2012,2,3,DOG,40229
6,2012,2,2,DOG,40245
7,2012,2,2,DOG,40258
8,2012,2,1,DOG,40272
9,2012,2,2,DOG,40291
10,2012,3,2,CAT,40216
11,2012,3,1,CAT,40272
12,2012,3,1,DOG,40118
13,2012,3,1,DOG,40215
14,2012,3,1,DOG,40216
15,2012,3,1,DOG,40218
16,2012,3,1,DOG,40219
17,2012,3,1,DOG,40272
18,2012,4,1,CAT,40041
19,2012,4,1,CAT,40207
20,2012,4,1,CAT,40213
21,2012,4,1,CAT,40219
22,2012,4,1,CAT,40223
23,2012,4,1,CAT,40241
24,2012,4,1,CAT,40299
25,2012,4,1,DOG,40204
26,2012,4,3,DOG,40205
27,2012,4,1,DOG,40206
28,2012,4,2,DOG,40208
29,2012,4,3,DOG,40213
30,2012,4,1,DOG,40214
31,2012,4,2,DOG,40215
32,2012,4,1,DOG,40216
33,2012,4,1,DOG,40217
34,2012,4,3,DOG,40219
35,2012,4,3,DOG,40220
36,2012,4,1,DOG,40228
37,2012,4,1,DOG,40229
38,2012,4,1,DOG,40241
39,2012,4,3,DOG,40258
40,2012,4,1,DOG,40272
41,2012,4,2,DOG,40299
42,2012,5,2,CAT,40245
43,2012,5,2,CAT,40272
44,2012,5,1,CAT,40291
45,2012,5,1,DOG,40118
46,2012,5,3,DOG,40207
47,2012,5,1,DOG,40213
48,2012,5,2,DOG,40214
49,2012,5,1,DOG,40216
50,2012,5,3,DOG,40217
51,2012,8,1,DOG,40219
52,2012,8,1,DOG,40220
53,2012,8,2,DOG,40223
54,2012,8,2,DOG,40228
55,2012,8,2,DOG,40229
56,2012,8,1,DOG,40245
57,2012,8,5,DOG,40291
58,2012,8,6,DOG,40299
59,2012,9,1,CAT,40041
60,2012,9,1,CAT,40218
61,2012,9,1,CAT,40223
62,2012,9,1,CAT,40242
63,2012,9,1,DOG,40041
64,2012,9,1,DOG,40207
65,2012,9,1,DOG,40214
66,2012,9,1,DOG,40216
67,2012,9,1,DOG,40219
68,2012,9,1,DOG,40291
69,2012,9,1,DOG,40299
70,2012,10,2,CAT,40207
71,2012,10,1,CAT,40228
72,2012,10,1,CAT,40258
73,2012,10,1,DOG,40205
74,2012,10,1,DOG,40211
75,2012,10,2,DOG,40216
76,2012,10,1,DOG,40219
77,2012,10,1,DOG,40220
78,2012,10,1,DOG,40245
79,2012,10,1,DOG,40258
80,2012,10,2,DOG,40299
81,2012,11,1,CAT,40258
82,2012,11,2,DOG,40204
83,2012,11,1,DOG,40206
84,2012,11,1,DOG,40207
85,2012,11,1,DOG,40211
86,2012,11,1,DOG,40214
87,2012,11,2,DOG,40216
88,2012,11,1,DOG,40223
89,2012,11,2,DOG,40272
90,2012,11,1,DOG,40291
91,2012,11,1,DOG,40299
92,2012,12,2,CAT,40215
93,2012,12,1,CAT,40228
94,2012,12,1,CAT,40272
95,2012,12,2,DOG,40206
96,2012,12,1,DOG,40219
97,2012,12,1,DOG,40220
98,2012,12,1,DOG,40222
99,2012,12,1,DOG,40242
100,2012,12,1,DOG,40245
101,2011,10,1,CAT,40272
102,2011,10,1,DOG,40213
103,2011,10,1,DOG,40216
104,2011,10,1,DOG,40218
105,2011,10,2,DOG,40219
106,2011,10,2,DOG,40220
107,2011,10,3,DOG,40222
108,2011,10,2,DOG,40242
109,2011,10,1,DOG,40243
110,2011,10,1,DOG,40258
111,2011,10,2,DOG,40272
112,2011,10,1,DOG,40291
113,2011,11,1,CAT,40291
114,2011,11,1,CAT,40299
115,2011,11,1,DOG,40204
116,2011,11,1,DOG,40219
117,2011,11,1,DOG,40220
118,2011,11,1,DOG,40228
119,2011,11,1,DOG,40229
120,2011,11,1,DOG,40269
121,2011,11,1,DOG,40272
122,2011,11,1,DOG,40291
123,2011,11,2,DOG,40299
124,2011,12,1,DOG,40118
125,2011,12,3,DOG,40207
126,2011,12,1,DOG,40217
127,2011,12,2,DOG,40219
128,2011,12,5,DOG,40272
129,2011,12,4,DOG,40291
130,2011,12,1,DOG,40299
131,2012,1,1,CAT,40228
132,2012,1,1,DOG,40118
133,2012,1,1,DOG,40205
134,2012,1,1,DOG,40206
135,2012,1,1,DOG,40210
136,2012,1,1,DOG,40212
137,2012,1,1,DOG,40214
138,2012,1,1,DOG,40216
139,2012,1,1,DOG,40218
140,2012,1,1,DOG,40223
141,2012,1,1,DOG,40242
142,2012,1,1,DOG,40245
143,2012,1,3,DOG,40299
144,2012,2,3,CAT,40258
145,2012,2,2,DOG,40205
146,2012,2,1,DOG,40206
147,2012,2,1,DOG,40208
148,2012,2,2,DOG,40212
149,2012,2,3,DOG,40214
150,2012,2,1,DOG,40216
151,2007,9,1,DOG,40291
152,2011,5,1,CAT,40245
153,2011,5,1,CAT,40272
154,2011,5,2,DOG,40205
155,2011,5,1,DOG,40214
156,2011,5,2,DOG,40220
157,2011,5,1,DOG,40228
158,2011,5,1,DOG,40258
159,2011,6,1,CAT,40229
160,2011,6,2,CAT,40258
161,2011,6,1,CAT,40272
162,2011,6,1,DOG,40118
163,2011,6,1,DOG,40205
164,2011,6,1,DOG,40208
165,2011,6,1,DOG,40216
166,2011,6,4,DOG,40220
167,2011,6,1,DOG,40245
168,2011,6,1,DOG,40272
169,2011,7,1,CAT,40243
170,2011,7,1,CAT,40258
171,2011,7,1,DOG,40212
172,2011,7,1,DOG,40216
173,2011,7,2,DOG,40220
174,2011,7,1,DOG,40223
175,2011,7,1,DOG,40291
176,2011,7,1,DOG,40299
177,2011,8,3,CAT,40213
178,2011,8,2,CAT,40258
179,2011,8,1,CAT,40272
180,2011,8,1,DOG,40059
181,2011,8,1,DOG,40203
182,2011,8,1,DOG,40206
183,2011,8,2,DOG,40216
184,2011,8,2,DOG,40219
185,2011,8,1,DOG,40220
186,2011,8,2,DOG,40241
187,2011,8,4,DOG,40245
188,2011,8,2,DOG,40272
189,2011,8,1,DOG,40299
190,2011,9,1,CAT,40220
191,2011,9,1,CAT,40291
192,2011,9,1,DOG,40203
193,2011,9,1,DOG,40205
194,2011,9,1,DOG,40213
195,2011,9,1,DOG,40214
196,2011,9,1,DOG,40216
197,2011,9,1,DOG,40218
198,2011,9,1,DOG,40219
199,2011,9,1,DOG,40241
200,2011,9,1,DOG,40291
201,2012,12,1,DOG,40299
202,2013,1,1,CAT,40206
203,2013,1,1,DOG,40213
204,2013,1,2,DOG,40215
205,2013,1,1,DOG,40216
206,2013,1,1,DOG,40217
207,2013,1,2,DOG,40219
208,2013,1,1,DOG,40241
209,2013,1,1,DOG,40299
210,2013,2,4,CAT,40214
211,2013,2,1,CAT,40228
212,2013,2,1,CAT,40299
213,2013,2,1,DOG,40059
214,2013,2,1,DOG,40207
215,2013,2,1,DOG,40210
216,2013,2,2,DOG,40214
217,2013,2,1,DOG,40216
218,2013,2,1,DOG,40241
219,2013,2,1,DOG,40291
220,2013,3,1,CAT,40216
221,2013,3,1,CAT,40272
222,2013,3,1,DOG,40208
223,2013,3,2,DOG,40214
224,2013,3,2,DOG,40218
225,2013,3,1,DOG,40220
226,2013,3,1,DOG,40223
227,2013,3,2,DOG,40258
228,2013,3,2,DOG,40299
229,2013,4,1,CAT,40205
230,2013,4,1,CAT,40215
231,2013,4,1,CAT,40222
232,2013,4,1,DOG,40205
233,2013,4,1,DOG,40210
234,2013,4,1,DOG,40212
235,2013,4,1,DOG,40214
236,2013,4,5,DOG,40215
237,2013,4,2,DOG,40216
238,2013,4,1,DOG,40219
239,2013,4,1,DOG,40220
240,2013,4,1,DOG,40222
241,2013,4,1,DOG,40245
242,2013,4,2,DOG,40258
243,2013,4,1,DOG,40272
244,2013,4,3,DOG,40299
245,2013,5,2,CAT,40118
246,2013,5,1,CAT,40205
247,2013,5,1,CAT,40206
248,2013,5,1,CAT,40208
249,2013,5,3,CAT,40214
250,2013,5,1,CAT,40215
251,2013,5,3,CAT,40216
252,2013,5,1,CAT,40219
253,2013,5,1,CAT,40223
254,2013,5,5,CAT,40258
255,2013,5,1,CAT,40272
256,2013,5,1,DOG,40118
257,2013,5,2,DOG,40203
258,2013,5,3,DOG,40205
259,2013,5,1,DOG,40206
260,2013,5,1,DOG,40207
261,2013,5,2,DOG,40208
262,2013,5,2,DOG,40212
263,2013,5,7,DOG,40214
264,2013,5,2,DOG,40215
265,2013,5,9,DOG,40216
266,2013,5,2,DOG,40217
267,2013,5,2,DOG,40219
268,2013,5,4,DOG,40220
269,2013,5,1,DOG,40222
270,2013,5,2,DOG,40223
271,2013,5,2,DOG,40228
272,2013,5,3,DOG,40229
273,2013,5,1,DOG,40241
274,2013,5,2,DOG,40258
275,2013,5,1,DOG,40259
276,2013,5,5,DOG,40272
277,2013,5,3,DOG,40291
278,2013,5,2,DOG,40299
279,2013,6,2,CAT,40204
280,2013,6,1,CAT,40205
281,2013,6,1,CAT,40206
282,2013,6,1,CAT,40208
283,2013,6,1,CAT,40214
284,2013,6,5,CAT,40216
285,2013,6,3,CAT,40218
286,2013,6,2,CAT,40219
287,2013,6,2,CAT,40220
288,2013,6,3,CAT,40229
289,2013,6,2,CAT,40245
290,2013,6,1,CAT,40272
291,2013,6,1,CAT,40299
292,2013,6,4,DOG,40118
293,2013,6,3,DOG,40204
294,2013,6,4,DOG,40205
295,2013,6,3,DOG,40206
296,2013,6,3,DOG,40207
297,2013,6,1,DOG,40208
298,2013,6,1,DOG,40211
299,2013,6,2,DOG,40212
300,2013,6,13,DOG,40214
301,2013,6,6,DOG,40215
302,2013,6,12,DOG,40216
303,2013,6,1,DOG,40217
304,2013,6,9,DOG,40218
305,2013,6,8,DOG,40219
306,2013,6,2,DOG,40220
307,2013,6,2,DOG,40222
308,2013,6,3,DOG,40223
309,2013,6,2,DOG,40228
310,2013,6,3,DOG,40229
311,2013,6,1,DOG,40243
312,2013,6,3,DOG,40245
313,2013,6,1,DOG,4025
314,2013,6,5,DOG,40258
315,2013,6,5,DOG,40272
316,2013,6,4,DOG,40291
317,2013,6,10,DOG,40299
318,2013,6,1,DOG,40437
319,2013,6,1,DOG,47150
320,2013,7,1,CAT,40204
321,2013,7,1,CAT,40205
322,2013,7,3,CAT,40207
323,2013,7,1,CAT,40208
324,2013,7,1,CAT,40212
325,2013,7,3,CAT,40214
326,2013,7,1,CAT,40215
327,2013,7,1,CAT,40216
328,2013,7,3,CAT,40217
329,2013,7,3,CAT,40218
330,2013,7,4,CAT,40220
331,2013,7,3,CAT,40222
332,2013,7,2,CAT,40229
333,2013,7,1,CAT,40241
334,2013,7,1,CAT,40245
335,2013,7,3,CAT,40258
336,2013,7,4,CAT,40272
337,2013,7,1,CAT,40291
338,2013,7,1,CAT,40299
339,2013,7,2,DOG,40027
340,2013,7,6,DOG,40118
341,2013,7,4,DOG,40203
342,2013,7,6,DOG,40204
343,2013,7,4,DOG,40205
344,2013,7,1,DOG,40206
345,2013,7,10,DOG,40207
346,2013,7,1,DOG,40208
347,2013,7,3,DOG,40210
348,2013,7,4,DOG,40212
349,2013,7,4,DOG,40213
350,2013,7,7,DOG,40214
351,2012,5,1,DOG,40220
